earthquake,earthquakeLabel,location
http://www.wikidata.org/entity/Q3984652,Q3984652,Point(16.009 39.881)
http://www.wikidata.org/entity/Q3984715,1481 Rhodes earthquake,Point(28.0 36.0)
http://www.wikidata.org/entity/Q3666607,1992 Erzincan earthquake,Point(39.605 39.71)
http://www.wikidata.org/entity/Q4115010,1986 Vrancea earthquake,Point(26.316 45.547)
http://www.wikidata.org/entity/Q4207367,2009 Izu Islands earthquake,Point(137.944 33.167)
http://www.wikidata.org/entity/Q3984659,1461 L'Aquila earthquake,Point(13.543 42.308)
http://www.wikidata.org/entity/Q3668403,1924 Pasinler earthquake,Point(42.0 40.0)
http://www.wikidata.org/entity/Q3984671,Q3984671,Point(16.2509 38.5226)
http://www.wikidata.org/entity/Q3629959,1991 Uttarkashi earthquake,Point(78.774 30.78)
http://www.wikidata.org/entity/Q4216844,2010 Kalgoorlie-Boulder earthquake,Point(121.653 -30.53)
http://www.wikidata.org/entity/Q3984721,earthquake in Sansepolcro in 1948,Point(12.1378 43.5728)
http://www.wikidata.org/entity/Q3984710,Norcia earthquake of 1979,Point(13.0625 42.80888889)
http://www.wikidata.org/entity/Q4352841,893 Dvin earthquake,Point(44.6 40.0)
http://www.wikidata.org/entity/Q3984725,1971 Tuscania earthquake,Point(11.87 42.4187)
http://www.wikidata.org/entity/Q4219257,1911 Kebin earthquake,Point(77.5 43.5)
http://www.wikidata.org/entity/Q4207377,2009 Crete earthquake,Point(25.471 34.164)
http://www.wikidata.org/entity/Q3623244,2006 Kamchatka earthquakes,Point(167.085 61.075)
http://www.wikidata.org/entity/Q3984677,1894 South Calabria earthquake,Point(15.87 38.289)
http://www.wikidata.org/entity/Q3621706,2010 Salta earthquake,Point(-65.043 -24.674)
http://www.wikidata.org/entity/Q3924772,1938 earthquake Zulzeke,Point(3.616944444 50.733055555)
http://www.wikidata.org/entity/Q3648080,1994 Bolivia earthquake,Point(-67.553 -13.841)
http://www.wikidata.org/entity/Q3555032,464 BC Sparta earthquake,Point(22.43 37.08)
http://www.wikidata.org/entity/Q4389555,1948 Fukui earthquake,Point(136.29 36.171667)
http://www.wikidata.org/entity/Q3984656,1930 Irpinia earthquake,Point(15.367 41.05)
http://www.wikidata.org/entity/Q4353439,1968 Dasht-e Bayaz and Ferdows earthquake,Point(59.02 33.9)
http://www.wikidata.org/entity/Q4115048,2004 Morocco earthquake,Point(-3.933 35.25)
http://www.wikidata.org/entity/Q3984653,1688 Sannio earthquake,Point(14.663472 41.210318)
http://www.wikidata.org/entity/Q3698408,1931 Valentine earthquake,Point(-104.967 30.8333)
http://www.wikidata.org/entity/Q3630459,2012 Haida Gwaii earthquake,Point(-131.927 52.769)
http://www.wikidata.org/entity/Q3984689,Q3984689,Point(11.342778 44.493889)
http://www.wikidata.org/entity/Q4115703,1992 Cairo earthquake,Point(31.144 29.778)
http://www.wikidata.org/entity/Q4131137,2009 Guerrero earthquake,Point(-99.39 17.07)
http://www.wikidata.org/entity/Q3984657,1349 Apennine earthquakes,Point(13.907 41.582)
http://www.wikidata.org/entity/Q4129687,2008 Skåne County earthquake,Point(13.6 55.56)
http://www.wikidata.org/entity/Q4191068,Q4191068,Point(106.1166667 52.05)
http://www.wikidata.org/entity/Q4120993,Tashkent earthquake (1966),Point(69.27222222 41.32388889)
http://www.wikidata.org/entity/Q3984663,Q3984663,Point(13.816666666 41.7)
http://www.wikidata.org/entity/Q3984693,1883 Casamicciola earthquake,Point(13.916667 40.75)
http://www.wikidata.org/entity/Q3984681,Bisenzio Valley earthquake 1899,Point(11.176 43.949)
http://www.wikidata.org/entity/Q3646805,1920 Gori earthquake,Point(44.0 41.9)
http://www.wikidata.org/entity/Q3667179,1983 Erzurum earthquake,Point(42.187 40.33)
http://www.wikidata.org/entity/Q4251541,2009 Talaud Islands earthquake,Point(126.39 3.89)
http://www.wikidata.org/entity/Q4349327,1993 Latur earthquake,Point(76.5 18.1)
http://www.wikidata.org/entity/Q4216874,Q4216874,Point(128.135 -1.692)
http://www.wikidata.org/entity/Q3661284,1952 Severo-Kurilsk tsunami,Point(161.0 52.3)
http://www.wikidata.org/entity/Q4191069,Q4191069,Point(104.4166667 51.7)
http://www.wikidata.org/entity/Q4382257,2000 Sumatra earthquake,Point(102.06 -4.61)
http://www.wikidata.org/entity/Q3984678,1706 Abruzzo earthquake,Point(14.112726 42.060774)
http://www.wikidata.org/entity/Q3718708,62 Pompeii earthquake,Point(14.5 40.7)
http://www.wikidata.org/entity/Q4191063,2011 Aceh Singkil Regency earthquakes,Point(97.85 2.81)
http://www.wikidata.org/entity/Q3984657,1349 Apennine earthquakes,Point(14.123227 41.454308)
http://www.wikidata.org/entity/Q3984661,Irpinia earthquake 1910,Point(15.279722 40.85)
http://www.wikidata.org/entity/Q4353506,1202 B.C. Syria Earthshake,Point(36.0 33.5)
http://www.wikidata.org/entity/Q4517810,2003 Altai earthquake,Point(87.832 49.954)
http://www.wikidata.org/entity/Q3777124,2009 Gulf of California earthquake,Point(-112.871 29.066)
http://www.wikidata.org/entity/Q3675514,2011 November Van earthquake,Point(43.229 38.429)
http://www.wikidata.org/entity/Q4346113,1903 Malazgirt earthquake,Point(42.65 39.14)
http://www.wikidata.org/entity/Q3678419,1949 Karlıova earthquake,Point(40.5 39.0)
http://www.wikidata.org/entity/Q3668393,1935 Digor earthquake,Point(43.4125 40.3756)
http://www.wikidata.org/entity/Q3658524,2006 Yanjin earthquake,Point(104.215 27.992)
http://www.wikidata.org/entity/Q4353435,1997 Jabalpur earthquake,Point(80.14 23.1)
http://www.wikidata.org/entity/Q3984698,Q3984698,Point(15.75 41.27)
http://www.wikidata.org/entity/Q4347173,1922 Vallenar earthquake,Point(-70.0 -28.5)
http://www.wikidata.org/entity/Q3667161,1971 Bingöl earthquake,Point(40.5 38.8)
http://www.wikidata.org/entity/Q4118371,1802 Vrancea earthquake,Point(26.72 45.72)
http://www.wikidata.org/entity/Q3666305,1966 Varto earthquake,Point(41.6 39.2)
http://www.wikidata.org/entity/Q3984691,1990 Carlentini earthquake,Point(15.47 37.2)
http://www.wikidata.org/entity/Q3984716,Q3984716,Point(16.7023 39.566)
http://www.wikidata.org/entity/Q4191082,1692 Jamaica earthquake,Point(-76.5 18.0)
