volcanoLabel;location
Puy Pariou;Point(2.971484 45.796824)
Вануа-Лава;Point(167.466666666 -13.8)
Ислуга;Point(-68.833333333 -19.15)
Аламаган (вулкан);Point(145.836666666 17.601944444)
Hobicha;Point(37.83 6.78)
Богория (вулкан);Point(36.08 0.25)
Арик (вулкан);Point(158.666666666 53.366666666)
Puy de Montiroir;Point(2.92648 45.9702)
Богдан Хмельницкий;Point(147.91324 45.37698)
Puy de Lassolas;Point(2.95828 45.71166)
Mount Oku;Point(10.518888888 6.199722222)
Mount Norikura;Point(137.55361111 36.10638889)
Mont Denise;Point(3.85482 45.0584)
Puy de la Bannière;Point(3.03361 45.8789)
Platanar;Point(-84.3660879 10.3000174)
Mount Yake;Point(137.58824 36.22887)
Moua Pihaa;Point(-148.67 -18.32)
Mount Hiuchigatake;Point(139.28716 36.95298)
Блуп-Блуп (вулкан);Point(144.605 -3.506666666)
Богдан Хмельницкий;Point(147.920277777 45.336944444)
Барановский вулкан (Приморский край);Point(131.919472222 43.652975)
Q3322052;Point(3.0338 45.6681)
Айнелькан;Point(160.383333333 57.5)
Балаган-Тас;Point(145.89305 65.958258333)
Liado;Point(40.28 9.57)
Сумако;Point(-77.6266 -0.5404)
Q3322220;Point(50.402 -46.4195)
Q3437336;Point(2.64361 45.1144)
Близнецы (вулкан);Point(161.37 57.350833333)
Бойса;Point(144.963333333 -3.994444444)
Артени;Point(43.784880555 40.375844444)
Сумако;Point(-77.62583333 -0.53805556)
Q3411084;Point(2.97427 45.9589)
Маненгуба;Point(9.842 5.022)
Mount Kupe;Point(9.707 4.801)
Ара лер;Point(44.452222222 40.405555555)
Mount Kupe;Point(9.71222222 4.80944444)
Анейтьюм (вулкан);Point(169.790555555 -20.184166666)
Puy de la Nugère;Point(2.9837 45.8601)
Q3229393;Point(2.947 45.8181)
Богослов (вулкан);Point(-177.438333333 51.91)
Боина (вулкан);Point(41.833333333 11.25)
Аоба (вулкан);Point(167.849166666 -15.380277777)
Таупо;Point(175.900833333 -38.805555555)
Толуака (вулкан);Point(-71.645 -38.31)
Бам (вулкан);Point(144.819166666 -3.613055555)
Баззард-Крик;Point(-148.433 64.062)
Биу Плато;Point(12.0 10.75)
Богачёвский вулкан;Point(160.707136 54.973214)
Mont de la Dives;Point(77.549444444 -37.849444444)
Mauna Ulu;Point(-155.201 19.3668)
Аку;Point(117.4614 56.1776)
Mocho-Choshuenco;Point(-72.0375 -39.909722222)
Три Сестры;Point(149.92 45.93)
Q3411123;Point(2.955 45.8278)
Барановский вулкан (Красноярский край);Point(101.933333333 60.916666666)
Puy de Mercœur;Point(2.95583 45.7164)
San Pedro de Tarara;Point(-70.8863297 -35.9948665)
Большая Кытэпана;Point(158.233333333 56.95)
Муриа;Point(110.88333333 -6.61666667)
Q3471599;Point(6.93722 43.525)
Puy de Louchadière;Point(2.95083 45.8531)
Биу Плато;Point(12.1333333 10.55)
Блэк-Рок-Дезерт;Point(-112.5 38.966666666)
Сига;Point(138.510725 36.699427777)
Pico do Cabugi;Point(-36.32083333 -5.70611111)
Pic du Mascarin;Point(51.7446 -46.4381)
Q3322034;Point(50.432 -45.952)
Mont de la Dives;Point(77.55 -37.848)
Puy de Paugnat;Point(2.9778 45.8803)
Pic du Mascarin;Point(51.7457 -46.4378)
Бир Борхут;Point(50.633333333 15.55)
Байонезе Рокс (подводный вулкан);Point(139.916666666 31.883333333)
Mælifellshnjúkur;Point(-19.366149 65.400014)
Амстердам (вулкан);Point(77.548528 -37.849239)
Асенсьон (вулкан);Point(-14.342336111 -7.951797222)
Puy des Goules;Point(2.98059 45.8095)
Алисо;Point(-78.007141666 -0.533)
Бем-Канал – Радиерд-Бэй;Point(-131.05 55.316666666)
Puy de la Vache;Point(2.96335 45.7054)
Kyatwa;Point(30.25 0.45)
Блу-Лейк (кратер);Point(-121.773888888 44.411388888)
Bud Dajo;Point(121.05666667 6.01333333)
Путана;Point(-67.852834 -22.557302)
Алней;Point(159.644894444 56.692016666)
Иван Грозный;Point(147.873611111 45.0125)
Баканови;Point(155.35 -6.15)
Petit Suchet;Point(2.961171 45.789786)
Иван Грозный;Point(147.917 45.0282)
Q3322136;Point(-151.452 -16.828)
Асунсьон (вулкан);Point(145.403611111 19.6925)
Mount Karakuni;Point(130.86166667 31.93416667)
Маненгуба;Point(9.83 5.03)
Mount Kirigamine;Point(138.167 36.1)
Puy de Gravenoire;Point(3.04974 45.75153)
Ааг;Point(158.656466666 53.395816666)
Q3273698;Point(3.08175 45.7766)
Puy de Côme;Point(2.94332 45.7965)
Сига;Point(138.51273 36.69999)
Kone;Point(39.692 8.8)
Льюльяйльяко;Point(-68.536852 -24.719863)
Стромболи;Point(15.217777777 38.794166666)
Вулкан Фусса;Point(155.2475 50.269722222)
Аринтика;Point(-69.05 -18.75)
Ключевская Сопка;Point(160.633333333 56.066666666)
Теревака;Point(-109.379444444 -27.084444444)
Бреннистейнсалда;Point(-19.145833 63.980833)
Абу (вулкан);Point(131.6 34.5)
Гуальятири;Point(-69.0917 -18.4167)
Камерун;Point(9.1725 4.216666666)
Парикутин;Point(-102.251 19.493)
Амбайтл (вулкан);Point(153.619444444 -4.065277777)
Þríhnúkagígur;Point(-21.69888889 63.99833333)
Тятя;Point(146.25099 44.35408)
Вулкан Врангеля;Point(-144.015833333 62.006944444)
Копауэ;Point(-71.1675 -37.852222222)
Ньирагонго;Point(29.25 -1.516666666)
Тефтан;Point(61.133333333 28.6)
Галерас;Point(-77.366666666 1.216666666)
Эребус;Point(167.283333333 -77.533333333)
Mount Lurus;Point(113.580277777 -7.739166666)
Корковадо;Point(-72.792777777 -43.193055555)
Сокомпа;Point(-68.256111111 -24.393333333)
Амбайтл;Point(153.95 -4.083333333)
Robledo;Point(-67.72 -26.77)
Типас;Point(-68.55 -27.2)
Антофагаста-де-ла-Сьерра;Point(-67.535833333 -25.968055555)
Mount Overlord;Point(164.6 -73.166666666)
Руапеху;Point(175.566666666 -39.283333333)
Амстердам;Point(77.554722222 -37.825833333)
Халласан;Point(126.516666666 33.35)
Паринакота;Point(-69.141611111 -18.165752777)
Мауна-Кеа;Point(-155.468055555 19.820555555)
Престахнукур;Point(-20.58 64.6)
Mount Kaba;Point(102.62 -3.52)
Илопанго;Point(-89.05 13.66666667)
Bandama Caldera;Point(-15.455556 28.033333)
Mallahle;Point(41.655 13.277)
Амбайтл;Point(153.621388888 -4.080833333)
Амбанг;Point(124.415833333 0.7575)
Невадо-дель-Руис;Point(-75.323611111 4.8925)
Иррупутунку;Point(-68.566666666 -20.733333333)
Sierra Nevada;Point(-71.58333333 -38.58333333)
Домуйо;Point(-70.433 -36.6397)
Чайтен;Point(-72.645833333 -42.832777777)
Попокатепетль;Point(-98.62778 19.02222)
Померапе;Point(-69.126719444 -18.126275)
Сиране;Point(138.527777777 36.643888888)
Вьедма (вулкан);Point(-73.283333333 -49.358333333)
Hohe Acht;Point(7.011111111 50.385833333)
Заводовский;Point(-27.566666666 -56.3)
Сен-Поль;Point(77.522222222 -38.73)
Эз-Зубайр;Point(42.16666667 15.05)
Акита-Комагатаке;Point(140.803611111 39.760833333)
Гарибальди;Point(-123.004722222 49.850555555)
Келуд;Point(112.305555555 -7.933333333)
Gunung Telomoyo;Point(110.4 -7.37)
Tromen;Point(-70.03 -37.142)
Антофалья;Point(-67.880833333 -25.5625)
Ясур;Point(169.441666666 -19.533333333)
Сан-Сальвадор;Point(-90.7 -0.25)
Аракар;Point(-67.7833 -24.29)
Ланин;Point(-71.499722222 -39.632777777)
Тятя;Point(146.250833333 44.353888888)
Сиране;Point(138.528333333 36.645277777)
Эрайвайёкюдль;Point(-16.642063888 64.025436111)
Вулкан Сарычева;Point(153.201388888 48.090555555)
Mount Butak;Point(112.45 -7.92)
Акаги (вулкан);Point(139.193611111 36.560833333)
Lonquimay;Point(-71.59272222 -38.37894444)
Атсонупури;Point(147.1275 44.807222222)
Акамарачи;Point(-67.617222222 -23.295833333)
Бакл;Point(163.25 -66.783333333)
Дом;Point(2.9624 45.772)
Крабла;Point(-16.783333333 65.733333333)
Пакая;Point(-90.601111111 14.380833333)
Йотей;Point(140.806388888 42.827222222)
Эль-Чичон;Point(-93.227777777 17.36)
Búrfell;Point(-19.82777778 64.08694444)
Bláhnjúkur;Point(-19.0681 63.9768)
Tunupa volcano;Point(-67.64 -19.83)
Серро-Хадсон;Point(-72.966666666 -45.916666666)
Банда Апи;Point(129.87582 -4.52201)
"Серро-Асуль (Чили; вулкан)";Point(-70.760833333 -35.653333333)
Ауканкильча;Point(-68.466666666 -21.216666666)
Каймон;Point(130.528333333 31.18)
