Earthquake,Earthquake_Lat,Earthquake_Lon,Volcano,Volcano_Lat,Volcano_Lon,Distance_km
Q3984663,41.7,13.816666666,Q30144976,40.849575,14.107504,97.54
2008 Skåne County earthquake,55.56,13.6,Central Skåne Volcanic Province,55.992928,13.52097,48.46
2011 November Van earthquake,38.429,43.229,Гиреколь-тепе,39.1,43.416666666,76.25
1349 Apennine earthquakes,41.454308,14.123227,Camaldoli,40.8575,14.1914,66.53
1903 Malazgirt earthquake,39.14,42.65,Гиреколь-тепе,39.1,43.416666666,66.45
1688 Sannio earthquake,41.210318,14.663472,Camaldoli,40.8575,14.1914,55.78
Землетрясение в провинции Сальта; Аргентина (2010),-24.674,-65.043,Morro de los Volcanes,-25.3833,-65.0408,78.57
Землетрясение в Румынии,45.72,26.72,Чумэтул-Маре,46.13,25.88,79.51
1894 South Calabria earthquake,38.289,15.87,Стромболи,38.794166666,15.217777777,79.86
Горийское землетрясение,41.9,44.0,Тавкветили,41.6811,43.7214,33.58
1883 Casamicciola earthquake,40.75,13.916667,Q30144976,40.849575,14.107504,19.54
Помпейское землетрясение,40.7,14.5,Camaldoli,40.8575,14.1914,31.38
1994 Paez river earthquake,2.46,-75.68,Пурасе,2.314166666,-76.394166666,81.05
Q3984671,38.5226,16.2509,Стромболи,38.794166666,15.217777777,94.84
2009 Gulf of California earthquake,29.066,-112.871,Коронадо,29.083333333,-113.513333333,62.57
1935 Digor earthquake,40.3756,43.4125,Артени,40.375844444,43.784880555,31.62
1461 L'Aquila earthquake,42.308,13.543,Альгид,41.7267,12.7786,90.43
1986 Vrancea earthquake,45.547,26.316,Чумэтул-Маре,46.13,25.88,73.12
1349 Apennine earthquakes,41.582,13.907,Q30144976,40.849575,14.107504,83.06
Землетрясение в Спарте,37.08,22.43,Метана,37.615,23.336,99.85
Землетрясение Ноби,35.6,136.3,Хакусан,36.1,136.5,58.35
Землетрясение в Тюэцу,37.3,138.8,Mount Asakuksa,37.34365,139.23351,38.73
Мессинское землетрясение,38.15,15.683,Gran Cratere,38.40417,14.9657,68.81
1980 Irpinia earthquake,40.914,15.366,Camaldoli,40.8575,14.1914,99.19
Землетрясение в Авеццано,41.996555555,13.527222222,Альгид,41.7267,12.7786,69.01
