earthquakeLabel;location
1975 Lice earthquake;Point(40.723 38.474)
2011 Hindukush earthquake;Point(71.102 36.502)
Кеминское землетрясение;Point(77.5 43.5)
2012 Haida Gwaii earthquake;Point(-131.927 52.769)
1993 Latur earthquake;Point(76.5 18.1)
Q3984663;Point(13.816666666 41.7)
earthquake in Sansepolcro in 1948;Point(12.1378 43.5728)
1924 Pasinler earthquake;Point(42.0 40.0)
2008 Skåne County earthquake;Point(13.6 55.56)
1968 Dasht-e Bayaz and Ferdows earthquake;Point(59.02 33.9)
Bisenzio Valley earthquake 1899;Point(11.176 43.949)
1959 Hebgen Lake earthquake;Point(-111.335 44.863)
2011 November Van earthquake;Point(43.229 38.429)
Землетрясение в Северной Суматре (2011);Point(97.85 2.81)
1349 Apennine earthquakes;Point(14.123227 41.454308)
"Землетрясение на островах Оби; Индонезия (2010)";Point(128.135 -1.692)
1903 Malazgirt earthquake;Point(42.65 39.14)
1922 Vallenar earthquake;Point(-70.0 -28.5)
Землетрясение в Карлыове (1949);Point(40.5 39.0)
Землетрясение в Канаде (2010);Point(-75.497 45.904)
1688 Sannio earthquake;Point(14.663472 41.210318)
2009 Guerrero earthquake;Point(-99.39 17.07)
"Землетрясение в Калгурли-Боулдер; Австралия (2010)";Point(121.653 -30.53)
1638 Calabrian earthquakes;Point(16.2972 39.1752)
Q3984698;Point(15.75 41.27)
1991 Uttarkashi earthquake;Point(78.774 30.78)
Землетрясение в Северной Суматре (2011);Point(97.916 2.958)
1931 Valentine earthquake;Point(-104.967 30.8333)
1966 Varto earthquake;Point(41.6 39.2)
2008 Sulawesi earthquake;Point(122.07 1.29)
2009 Crete earthquake;Point(25.471 34.164)
2009 Talaud Islands earthquake;Point(126.39 3.89)
1995 Gulf of Aqaba earthquake;Point(34.799 28.826)
1833 Sumatra earthquake;Point(100.5 -2.5)
Norcia earthquake of 1979;Point(13.0625 42.80888889)
Землетрясения в Алма-Ате;Point(76.8 43.1)
"Землетрясение в провинции Сальта; Аргентина (2010)";Point(-65.043 -24.674)
Q3984716;Point(16.7023 39.566)
2009 Fiji earthquake;Point(178.331 -17.239)
1971 Bingöl earthquake;Point(40.5 38.8)
2009 Xinjiang earthquake;Point(80.9 43.3)
1938 earthquake Zulzeke;Point(3.616944444 50.733055555)
1983 Erzurum earthquake;Point(42.187 40.33)
Землетрясение в Румынии;Point(26.72 45.72)
Землетрясение в Невельске (2007);Point(141.761 47.255)
1997 Jabalpur earthquake;Point(80.14 23.1)
Цунами в Северо-Курильске;Point(161.0 52.3)
Землетрясение в Нарынской области Кыргызстана (2011);Point(74.79 42.2)
Землетрясение на Сицилии (1990);Point(15.47 37.2)
Q3984674;Point(16.868 39.133)
Землетрясение в Каракасе;Point(-66.9667 10.5)
Землетрясение на Бали (2011);Point(114.628 -9.378)
1894 South Calabria earthquake;Point(15.87 38.289)
Q3984665;Point(12.4908748 43.1951754)
Nardò earthquake of 1743;Point(18.049 40.246)
Q3984711;Point(13.687 38.364)
Горийское землетрясение;Point(44.0 41.9)
