volcano,volcanoLabel,location
http://www.wikidata.org/entity/Q255010,Parinacota,Point(-69.141611111 -18.165752777)
http://www.wikidata.org/entity/Q298119,Öræfajökull,Point(-16.642063888 64.025436111)
http://www.wikidata.org/entity/Q288403,Sarychev Peak,Point(153.201388888 48.090555555)
http://www.wikidata.org/entity/Q214696,Mount Nyiragongo,Point(29.25 -1.516666666)
http://www.wikidata.org/entity/Q233351,Nevado del Ruiz,Point(-75.323611111 4.8925)
http://www.wikidata.org/entity/Q279915,Mount Kusatsu-Shirane,Point(138.528333333 36.645277777)
http://www.wikidata.org/entity/Q214916,Llullaillaco,Point(-68.536852 -24.719863)
http://www.wikidata.org/entity/Q422765,Socompa,Point(-68.256111111 -24.393333333)
http://www.wikidata.org/entity/Q312770,Domuyo,Point(-70.433 -36.6397)
http://www.wikidata.org/entity/Q335279,Þeistareykir,Point(-16.84 65.88)
http://www.wikidata.org/entity/Q457596,Ambitle,Point(153.621388888 -4.080833333)
http://www.wikidata.org/entity/Q456619,Ambang,Point(124.415833333 0.7575)
http://www.wikidata.org/entity/Q422737,Pomerape,Point(-69.126719444 -18.126275)
http://www.wikidata.org/entity/Q227496,Zubair Group,Point(42.16666667 15.05)
http://www.wikidata.org/entity/Q152380,Chaitén,Point(-72.645833333 -42.832777777)
http://www.wikidata.org/entity/Q521660,Sierra Nevada,Point(-71.58333333 -38.58333333)
http://www.wikidata.org/entity/Q368857,Bandama Caldera,Point(-15.455556 28.033333)
http://www.wikidata.org/entity/Q337644,Acamarachi,Point(-67.617222222 -23.295833333)
http://www.wikidata.org/entity/Q422965,Tromen,Point(-70.03 -37.142)
http://www.wikidata.org/entity/Q204821,Île Saint-Paul,Point(77.522222222 -38.73)
http://www.wikidata.org/entity/Q183027,Mount Garibaldi,Point(-123.004722222 49.850555555)
http://www.wikidata.org/entity/Q210252,Klyuchevskaya Sopka,Point(160.633333333 56.066666666)
http://www.wikidata.org/entity/Q252081,"Guallatiri, Chile",Point(-69.089722222 -18.423611111)
http://www.wikidata.org/entity/Q524216,Atsonupuri,Point(147.1275 44.807222222)
http://www.wikidata.org/entity/Q312929,Viedma,Point(-73.283333333 -49.358333333)
http://www.wikidata.org/entity/Q150081,Mount Kaba,Point(102.62 -3.52)
http://www.wikidata.org/entity/Q335699,Þríhnúkagígur,Point(-21.69888889 63.99833333)
http://www.wikidata.org/entity/Q380300,Mount Overlord,Point(164.6 -73.166666666)
http://www.wikidata.org/entity/Q137953,Ilopango,Point(-89.05 13.66666667)
http://www.wikidata.org/entity/Q415251,Mount Akagi,Point(139.193611111 36.560833333)
