seiyu,seiyuLabel,bDate
http://www.wikidata.org/entity/Q49573,Aya Hisakawa,1968-11-12T00:00:00Z
http://www.wikidata.org/entity/Q50033,Yui Horie,1976-09-20T00:00:00Z
http://www.wikidata.org/entity/Q166267,Kazuki Yao,1959-06-17T00:00:00Z
http://www.wikidata.org/entity/Q49554,Rie Kugimiya,1979-05-30T00:00:00Z
http://www.wikidata.org/entity/Q49566,Ayako Kawasumi,1976-03-30T00:00:00Z
http://www.wikidata.org/entity/Q50023,Yōko Hikasa,1985-07-16T00:00:00Z
http://www.wikidata.org/entity/Q233380,Ikue Ōtani,1965-08-18T00:00:00Z
http://www.wikidata.org/entity/Q242014,Aki Toyosaki,1986-10-28T00:00:00Z
http://www.wikidata.org/entity/Q253900,Masami Nagasawa,1987-06-03T00:00:00Z
http://www.wikidata.org/entity/Q264989,Haruko Momoi,1977-12-14T00:00:00Z
http://www.wikidata.org/entity/Q355173,Kappei Yamaguchi,1965-05-23T00:00:00Z
http://www.wikidata.org/entity/Q418649,Akio Ōtsuka,1959-11-24T00:00:00Z
http://www.wikidata.org/entity/Q235216,Maaya Sakamoto,1980-03-31T00:00:00Z
http://www.wikidata.org/entity/Q266670,Megumi Hayashibara,1967-03-30T00:00:00Z
http://www.wikidata.org/entity/Q459902,تاكاهيرو ساكوراي,1974-06-13T00:00:00Z
http://www.wikidata.org/entity/Q460444,Maria Kawamura,1961-11-21T00:00:00Z
http://www.wikidata.org/entity/Q513326,Susumu Chiba,1970-09-13T00:00:00Z
http://www.wikidata.org/entity/Q329873,Takashi Ukaji,1962-08-15T00:00:00Z
http://www.wikidata.org/entity/Q563425,Kenichi Suzumura,1974-09-12T00:00:00Z
http://www.wikidata.org/entity/Q579296,توموكازو سوغيتا,1980-10-11T00:00:00Z
http://www.wikidata.org/entity/Q908367,Satomi Akesaka,1988-01-02T00:00:00Z
http://www.wikidata.org/entity/Q1022023,Yukari Tamura,1976-02-27T00:00:00Z
http://www.wikidata.org/entity/Q18735,Kotono Mitsuishi,1967-12-08T00:00:00Z
http://www.wikidata.org/entity/Q49547,Fumiko Orikasa,1974-12-27T00:00:00Z
http://www.wikidata.org/entity/Q49552,Miyuki Sawashiro,1985-06-02T00:00:00Z
http://www.wikidata.org/entity/Q418736,Akira Ishida,1967-11-02T00:00:00Z
http://www.wikidata.org/entity/Q520669,هوتشو أوتسوكا,1954-05-19T00:00:00Z
http://www.wikidata.org/entity/Q1063625,Sakura Nogawa,1978-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1066537,يوكا إيماي,1970-09-19T00:00:00Z
http://www.wikidata.org/entity/Q50025,Haruka Tomatsu,1990-02-04T00:00:00Z
http://www.wikidata.org/entity/Q233902,Romi Park,1972-01-22T00:00:00Z
http://www.wikidata.org/entity/Q556626,Sōichirō Hoshi,1972-05-30T00:00:00Z
http://www.wikidata.org/entity/Q571148,Toshiko Fujita,1950-04-05T00:00:00Z
http://www.wikidata.org/entity/Q579804,Yuri Lowenthal,1971-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1149403,Chiaki Takahashi,1977-05-08T00:00:00Z
http://www.wikidata.org/entity/Q1154469,Kikuko Inoue,1964-09-25T00:00:00Z
http://www.wikidata.org/entity/Q1155353,Kana Ueda,1980-06-09T00:00:00Z
http://www.wikidata.org/entity/Q236715,Ami Koshimizu,1986-02-15T00:00:00Z
http://www.wikidata.org/entity/Q241771,Mayumi Tanaka,1955-01-15T00:00:00Z
http://www.wikidata.org/entity/Q584678,Keiko Han,1953-04-05T00:00:00Z
http://www.wikidata.org/entity/Q628591,ساناي كوباياشي,1980-01-26T00:00:00Z
http://www.wikidata.org/entity/Q719326,شينيتشيرو ميكي,1968-03-18T00:00:00Z
http://www.wikidata.org/entity/Q1191506,أكمي كاندا,1978-11-10T00:00:00Z
http://www.wikidata.org/entity/Q1191514,Masumi Asano,1977-08-25T00:00:00Z
http://www.wikidata.org/entity/Q449621,Tatsuya Nakadai,1932-12-13T00:00:00Z
http://www.wikidata.org/entity/Q253873,أوي ميازاكي,1985-11-30T00:00:00Z
http://www.wikidata.org/entity/Q284401,Tomokazu Seki,1972-09-08T00:00:00Z
