anime,animeLabel,animePubDate,animeSeriesStartDate
http://www.wikidata.org/entity/Q1083456,Getter Robo Armageddon,,
http://www.wikidata.org/entity/Q1083746,Vulgar Ghost Daydream,,
http://www.wikidata.org/entity/Q1093693,Shin Getter Robo vs Neo Getter Robo,,
http://www.wikidata.org/entity/Q1095941,Ayane's High Kick,,1997-01-21T00:00:00Z
http://www.wikidata.org/entity/Q1105802,Rinne no Lagrange,,
http://www.wikidata.org/entity/Q1106113,Aquarion Evol,,
http://www.wikidata.org/entity/Q1117884,Crying Freeman,,
http://www.wikidata.org/entity/Q1129655,Cool Devices,1995-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1132540,Tenshi Nanka Ja Nai,,
http://www.wikidata.org/entity/Q1133101,Resort Boin,2007-03-16T00:00:00Z,
http://www.wikidata.org/entity/Q1140766,Yukikaze,2002-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1147094,Кибер-город Эдо,1989-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1151768,Munto,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1151768,Munto,2005-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1151768,Munto,2009-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1152416,8 Man,1963-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1152489,Detroit Metal City,2008-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1154421,Elementalors,,
http://www.wikidata.org/entity/Q1156108,Mermaid Forest,1991-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1156108,Mermaid Forest,1993-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1156108,Mermaid Forest,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1156204,Strawberry Marshmallow,2005-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1156204,Strawberry Marshmallow,2007-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1156204,Strawberry Marshmallow,2009-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1186878,Gundam Wing: Endless Waltz,1998-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1191938,Kyo no Gononi,,2008-12-28T00:00:00Z
http://www.wikidata.org/entity/Q1195840,One: Kagayaku Kisetsu e,1998-05-29T00:00:00Z,
http://www.wikidata.org/entity/Q1196284,Gunbuster,1988-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1196284,Gunbuster,2004-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1200648,Genshiken,2004-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1200648,Genshiken,2006-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1200648,Genshiken,2007-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1203306,Haru wo Daiteita,2005-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1206804,Devil Hunter Yohko,,
http://www.wikidata.org/entity/Q1208940,Koe de Oshigoto!,2010-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1238117,Dominion: Tank Police,1986-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1254867,Dragon Knight 4,1994-02-25T00:00:00Z,
http://www.wikidata.org/entity/Q1257981,Birdy the Mighty,,
http://www.wikidata.org/entity/Q1314495,RG Veda,,
http://www.wikidata.org/entity/Q1317129,Haré+Guu,,
http://www.wikidata.org/entity/Q1317867,Cream Lemon,1984-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1317867,Cream Lemon,1986-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1317867,Cream Lemon,1987-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1317867,Cream Lemon,1990-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1317867,Cream Lemon,2001-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1317867,Cream Lemon,2006-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1317932,Negima!?,2006-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1321644,Yokohama Kaidashi Kikou,,
http://www.wikidata.org/entity/Q1323666,Ogre Slayer,,
http://www.wikidata.org/entity/Q1325783,Карас,2005-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1342920,Itsudatte My Santa!,2005-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1353054,Parasite Dolls,,
http://www.wikidata.org/entity/Q1363696,Gunsmith Cats,1989-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1363696,Gunsmith Cats,1995-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1374090,Area 88,1985-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1374090,Area 88,2004-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1377807,Инопланетяне в школе № 9,2001-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1388243,Here Is Greenwood,,2008-07-05T00:00:00Z
http://www.wikidata.org/entity/Q1390175,Magical Twilight,,
http://www.wikidata.org/entity/Q1403072,Mobile Suit Gundam: The Origin,,
http://www.wikidata.org/entity/Q1445400,Guren,,
http://www.wikidata.org/entity/Q1533625,Riding Bean,1989-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1626862,Honey x Honey Drops,,
http://www.wikidata.org/entity/Q1628801,Карнавал роботов,1987-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1644596,The Cockpit,1993-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1645972,Tenbatsu! Angel Rabbie,,
http://www.wikidata.org/entity/Q1647501,Macross Zero,2002-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1720529,Kujibiki Unbalance,,2004-12-22T00:00:00Z
http://www.wikidata.org/entity/Q1742099,King of Bandit Jing,2002-01-01T00:00:00Z,2002-08-14T00:00:00Z
http://www.wikidata.org/entity/Q1742099,King of Bandit Jing,2004-01-01T00:00:00Z,2002-08-14T00:00:00Z
http://www.wikidata.org/entity/Q1743797,Kiss×sis,2008-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1743797,Kiss×sis,2010-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1743872,Кайт — девочка-убийца,1998-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1754057,Angel’s Egg,1985-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1780891,The Hakkenden,1993-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1986800,Megazone 23,,
http://www.wikidata.org/entity/Q1988069,K.O. Beast,1994-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1989332,Sol Bianca: Сокровища погибших планет,1999-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2029402,Ruin Explorers,,
http://www.wikidata.org/entity/Q2064502,Saber Marionette J Again,,
http://www.wikidata.org/entity/Q2066353,Lesson XX,,
http://www.wikidata.org/entity/Q2070154,Venus 5,1994-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2074194,Рыбка в ловушке,,
http://www.wikidata.org/entity/Q2075324,Kamasutra,,
http://www.wikidata.org/entity/Q2077001,Смирительная рубашка,,
http://www.wikidata.org/entity/Q2079817,Winter Cicada,,2007-02-23T00:00:00Z
http://www.wikidata.org/entity/Q2083182,Cosmo Warrior Zero,,
http://www.wikidata.org/entity/Q2090960,Bio Hunter,,
http://www.wikidata.org/entity/Q2117640,Labyrinth of Flames,,
http://www.wikidata.org/entity/Q2135802,Record of Lodoss War,1990-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2201877,Mobile Suit Gundam: The 08th MS Team,1998-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2255268,Violence Jack,,
http://www.wikidata.org/entity/Q2271087,Mobile Suit Gundam 0083: Stardust Memory,,
http://www.wikidata.org/entity/Q2296719,Bubblegum Crash,,
http://www.wikidata.org/entity/Q2335710,Maetel Legend,2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2384898,Макросс Плюс,1994-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2384898,Макросс Плюс,1995-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2392833,Iczer Reborn,,
http://www.wikidata.org/entity/Q2395170,Freedom Project,,
http://www.wikidata.org/entity/Q2404280,Mezzo Forte: Красотки-головорезы,2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q92572,FLCL,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q518169,Хеталия и страны Оси,2009-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q518169,Хеталия и страны Оси,2010-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q518169,Хеталия и страны Оси,2013-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q604043,Nekomonogatari,2012-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q711311,Doraemon,,
http://www.wikidata.org/entity/Q845462,Salamander,1987-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q847219,Pururun! Shizuku-chan,,
http://www.wikidata.org/entity/Q856326,Bible Black,2000-07-14T00:00:00Z,
http://www.wikidata.org/entity/Q856326,Bible Black,2006-11-21T00:00:00Z,
http://www.wikidata.org/entity/Q860323,Jankenman,1991-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q860323,Jankenman,1992-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q869393,Изгнанник: Среброкрылая Фам,2011-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q900454,Okojo-san,2001-01-01T00:00:00Z,2001-10-02T00:00:00Z
http://www.wikidata.org/entity/Q909912,Moero! Top Striker,1991-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q965699,Sword of the Stranger,2007-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q972569,Новый Дораэмон 3: Нобита и легенда о Зеленом Гиганте,2008-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1004318,Стальной алхимик: Священная звезда Милоса,2011-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1004318,Стальной алхимик: Священная звезда Милоса,2011-07-02T00:00:00Z,
http://www.wikidata.org/entity/Q1048778,Kowarekake no Orgel,2009-12-31T00:00:00Z,
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,1984-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1049862,Suki Desu Suzuki-kun!!,2009-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1135524,Q.E.D.,,2009-01-08T00:00:00Z
http://www.wikidata.org/entity/Q1142102,Tokyo Babylon,1993-01-01T00:00:00Z,
