item,itemLabel,link,itemType
http://www.wikidata.org/entity/Q1347031,"Юки, Аой",http://www.wikidata.org/entity/Q869393,seiyu
http://www.wikidata.org/entity/Q333194,"Ямадэра, Коити",http://www.wikidata.org/entity/Q965699,seiyu
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q430395,http://www.wikidata.org/entity/Q430395
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q571148,http://www.wikidata.org/entity/Q571148
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q584678,http://www.wikidata.org/entity/Q584678
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q1007984,http://www.wikidata.org/entity/Q1007984
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q1010229,http://www.wikidata.org/entity/Q1010229
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q1193042,http://www.wikidata.org/entity/Q1193042
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q1323728,http://www.wikidata.org/entity/Q1323728
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q2735330,http://www.wikidata.org/entity/Q2735330
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q2778060,http://www.wikidata.org/entity/Q2778060
http://www.wikidata.org/entity/Q6381410,"Комия, Кадзуэ",http://www.wikidata.org/entity/Q1049097,seiyu
http://www.wikidata.org/entity/Q1049097,Супермен Локэ,http://www.wikidata.org/entity/Q6381410,http://www.wikidata.org/entity/Q6381410
http://www.wikidata.org/entity/Q235216,"Сакамото, Маая",http://www.wikidata.org/entity/Q1004318,seiyu
http://www.wikidata.org/entity/Q1135000,"Кавада, Синдзи",http://www.wikidata.org/entity/Q1004318,seiyu
http://www.wikidata.org/entity/Q584678,"Хан, Кэйко",http://www.wikidata.org/entity/Q1049097,seiyu
http://www.wikidata.org/entity/Q1207010,"Оцука, Тикао",http://www.wikidata.org/entity/Q972569,seiyu
