war,warLabel,start_time,end_time
http://www.wikidata.org/entity/Q6683,американо-мексиканская война,1846-04-24T00:00:00Z,1848-02-02T00:00:00Z
http://www.wikidata.org/entity/Q8663,Корейская война,1950-06-25T00:00:00Z,1953-07-27T00:00:00Z
http://www.wikidata.org/entity/Q8740,Война во Вьетнаме,1959-01-01T00:00:00Z,1975-04-30T00:00:00Z
http://www.wikidata.org/entity/Q12583,Испано-американская война,1898-04-25T00:00:00Z,1898-08-11T00:00:00Z
http://www.wikidata.org/entity/Q26013,Англо-американская война,1812-06-18T00:00:00Z,1815-02-18T00:00:00Z
http://www.wikidata.org/entity/Q26749,Война второй коалиции,1798-01-01T00:00:00Z,1801-01-01T00:00:00Z
http://www.wikidata.org/entity/Q31880,Испанско-брунейская война,1578-03-01T00:00:00Z,1578-06-01T00:00:00Z
http://www.wikidata.org/entity/Q37643,Война в Персидском заливе,1990-08-02T00:00:00Z,1991-02-28T00:00:00Z
http://www.wikidata.org/entity/Q49100,Война Судного дня,1973-10-06T00:00:00Z,1973-10-25T00:00:00Z
http://www.wikidata.org/entity/Q75756,Вторая конголезская война,1998-08-02T00:00:00Z,2003-06-30T00:00:00Z
http://www.wikidata.org/entity/Q184425,Тихоокеанский театр военных действий Второй мировой войны,1941-12-07T00:00:00Z,1945-09-02T00:00:00Z
http://www.wikidata.org/entity/Q189266,Великая Отечественная война,1941-06-22T00:00:00Z,1945-05-07T00:00:00Z
http://www.wikidata.org/entity/Q189266,Великая Отечественная война,1941-06-22T00:00:00Z,1955-01-21T00:00:00Z
http://www.wikidata.org/entity/Q190029,Косовская война,1998-02-27T00:00:00Z,1999-06-11T00:00:00Z
http://www.wikidata.org/entity/Q202465,Угандийско-танзанийская война,1978-01-01T00:00:00Z,1979-01-01T00:00:00Z
http://www.wikidata.org/entity/Q207318,Революционные войны,1792-04-20T00:00:00Z,1802-03-25T00:00:00Z
http://www.wikidata.org/entity/Q214456,Филиппино-американская война,1899-02-04T00:00:00Z,1902-07-02T00:00:00Z
http://www.wikidata.org/entity/Q325314,Война Текумсе,1810-08-01T00:00:00Z,1813-10-05T00:00:00Z
http://www.wikidata.org/entity/Q418151,Вторая Опиумная война,1856-01-01T00:00:00Z,1860-01-01T00:00:00Z
http://www.wikidata.org/entity/Q430053,Война за Чёрные Холмы,1876-01-01T00:00:00Z,1877-01-01T00:00:00Z
http://www.wikidata.org/entity/Q474891,Техасско-индейские войны,1820-01-01T00:00:00Z,1875-01-01T00:00:00Z
http://www.wikidata.org/entity/Q524272,Юго-Восточно-Азиатский театр военных действий Второй мировой войны,1941-12-08T00:00:00Z,1945-09-09T00:00:00Z
http://www.wikidata.org/entity/Q580961,Агашерская война,1985-12-14T00:00:00Z,1985-12-30T00:00:00Z
http://www.wikidata.org/entity/Q617827,Апачские войны,1849-01-01T00:00:00Z,1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q623171,Китайско-вьетнамская война,1979-02-17T00:00:00Z,1979-03-16T00:00:00Z
http://www.wikidata.org/entity/Q635533,Кампучийско-вьетнамский конфликт,1977-04-30T00:00:00Z,1991-10-23T00:00:00Z
http://www.wikidata.org/entity/Q655480,Квазивойна,1798-07-07T00:00:00Z,1800-09-30T00:00:00Z
http://www.wikidata.org/entity/Q698312,Арустукская война,1838-01-01T00:00:00Z,1839-01-01T00:00:00Z
http://www.wikidata.org/entity/Q780845,Франко-тайская война,1940-10-01T00:00:00Z,1941-05-09T00:00:00Z
http://www.wikidata.org/entity/Q807741,Берберийские войны,1801-01-01T00:00:00Z,1815-01-01T00:00:00Z
http://www.wikidata.org/entity/Q838695,Первая конголезская война,1996-10-24T00:00:00Z,1997-05-16T00:00:00Z
http://www.wikidata.org/entity/Q849680,Индейские войны,1609-01-01T00:00:00Z,1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q856168,Кондитерская война,1838-11-27T00:00:00Z,1839-03-09T00:00:00Z
http://www.wikidata.org/entity/Q879980,Война Чёрного Ястреба,1832-05-01T00:00:00Z,1832-08-01T00:00:00Z
http://www.wikidata.org/entity/Q900693,Семинольские войны,1816-01-01T00:00:00Z,1858-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1052060,Cayuse War,1847-01-01T00:00:00Z,1855-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1064335,Война из-за свиньи,1859-06-15T00:00:00Z,1859-10-01T00:00:00Z
http://www.wikidata.org/entity/Q1186260,Крикская война,1813-01-01T00:00:00Z,1814-08-01T00:00:00Z
http://www.wikidata.org/entity/Q1259237,Третья англо-афганская война,1919-05-06T00:00:00Z,1919-08-08T00:00:00Z
http://www.wikidata.org/entity/Q1382989,Rogue River Wars,1855-01-01T00:00:00Z,1856-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1456086,Война не-персе,1877-06-01T00:00:00Z,1877-10-01T00:00:00Z
http://www.wikidata.org/entity/Q2280723,Burmese–Siamese War (1785–86),1785-01-01T00:00:00Z,1786-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2342102,Индокитайские войны,1946-01-01T00:00:00Z,1989-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6407091,Laotian Rebellion,1826-01-01T00:00:00Z,1828-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7242972,Song-Lý War,1075-01-01T00:00:00Z,1077-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10684373,Датско-шведская война (1501—1512),1501-01-01T00:00:00Z,1512-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10747221,Vietnamese–Laotian War of 1467–1480,1467-01-01T00:00:00Z,1480-01-01T00:00:00Z
http://www.wikidata.org/entity/Q215112,Англо-бурская война,1899-10-23T00:00:00Z,1902-05-31T00:00:00Z
http://www.wikidata.org/entity/Q49077,Шестидневная война,1967-06-05T00:00:00Z,1967-06-10T00:00:00Z
http://www.wikidata.org/entity/Q49097,Арабо-израильская война (1947—1949),1947-11-30T00:00:00Z,1949-07-20T00:00:00Z
http://www.wikidata.org/entity/Q49103,Ливанская война (1982),1982-06-06T00:00:00Z,1985-05-17T00:00:00Z
http://www.wikidata.org/entity/Q233583,Вторая индо-пакистанская война,1965-08-01T00:00:00Z,1965-09-23T00:00:00Z
http://www.wikidata.org/entity/Q322607,Война на истощение,1967-07-01T00:00:00Z,1970-08-07T00:00:00Z
http://www.wikidata.org/entity/Q322607,Война на истощение,1969-03-01T00:00:00Z,1970-08-07T00:00:00Z
http://www.wikidata.org/entity/Q371394,Война за независимость Бангладеш,1971-03-26T00:00:00Z,1971-12-16T00:00:00Z
http://www.wikidata.org/entity/Q404517,Каргильская война,1999-05-03T00:00:00Z,1999-07-26T00:00:00Z
http://www.wikidata.org/entity/Q1367731,Саудовско-йеменская война,1934-02-01T00:00:00Z,1934-05-20T00:00:00Z
http://www.wikidata.org/entity/Q1814745,Первая Иламская война,1983-07-23T00:00:00Z,1987-07-29T00:00:00Z
http://www.wikidata.org/entity/Q1922071,Третья индо-пакистанская война,1971-12-03T00:00:00Z,1971-12-16T00:00:00Z
http://www.wikidata.org/entity/Q2904516,War over Water,1964-11-01T00:00:00Z,1967-05-01T00:00:00Z
http://www.wikidata.org/entity/Q11050383,Вторая Иламская война,1990-06-10T00:00:00Z,1995-01-09T00:00:00Z
http://www.wikidata.org/entity/Q11154636,Третья Иламская война,1995-04-19T00:00:00Z,2002-02-22T00:00:00Z
http://www.wikidata.org/entity/Q16974363,Eastern Theater of Eelam War IV,2006-07-21T00:00:00Z,2007-07-11T00:00:00Z
http://www.wikidata.org/entity/Q49092,Арабо-израильская война 1948,1948-05-15T00:00:00Z,1949-03-10T00:00:00Z
http://www.wikidata.org/entity/Q49101,Суэцкий кризис,1956-10-29T00:00:00Z,1956-11-07T00:00:00Z
http://www.wikidata.org/entity/Q82664,Ирано-иракская война,1980-09-22T00:00:00Z,1988-08-20T00:00:00Z
http://www.wikidata.org/entity/Q223085,Футбольная война,1967-07-14T00:00:00Z,1969-07-18T00:00:00Z
http://www.wikidata.org/entity/Q3439047,Dominican War of Independence Of Reiny,1844-01-01T00:00:00Z,1856-01-01T00:00:00Z
http://www.wikidata.org/entity/Q170682,Операция «Литой свинец»,2008-12-27T00:00:00Z,2009-01-18T00:00:00Z
http://www.wikidata.org/entity/Q1540737,Испано-марокканская война,1859-10-22T00:00:00Z,1860-04-26T00:00:00Z
http://www.wikidata.org/entity/Q1891008,Алжиро-марокканский пограничный конфликт,1963-09-25T00:00:00Z,1964-02-20T00:00:00Z
